NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=7.212s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57146 actions=output:4
 cookie=0x0, duration=2.044s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57166 actions=output:4
 cookie=0x0, duration=2.077s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57166,tp_dst=8000 actions=output:1
 cookie=0x0, duration=4.148s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57158,tp_dst=8000 actions=output:1
 cookie=0x0, duration=4.148s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57158 actions=output:4
 cookie=0x0, duration=6.228s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57150 actions=output:4
 cookie=0x0, duration=1.057s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57170 actions=output:4
 cookie=0x0, duration=3.131s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57162 actions=output:4
 cookie=0x0, duration=1.057s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57170,tp_dst=8000 actions=output:1
 cookie=0x0, duration=6.228s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57150,tp_dst=8000 actions=output:1
 cookie=0x0, duration=0.038s, table=0, n_packets=0, n_bytes=0, idle_timeout=10, hard_timeout=30, idle_age=0, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57174,tp_dst=8000 actions=output:1
 cookie=0x0, duration=3.131s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=3, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57162,tp_dst=8000 actions=output:1
 cookie=0x0, duration=5.165s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57154 actions=output:4
 cookie=0x0, duration=9.327s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57138,tp_dst=8000 actions=output:1
 cookie=0x0, duration=7.245s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,tcp,in_port=4,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57146,tp_dst=8000 actions=output:1
