NXST_FLOW reply (xid=0x4):
 cookie=0x0, duration=5.21s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=5, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48370 actions=output:5
 cookie=0x0, duration=6.226s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48366 actions=output:5
 cookie=0x0, duration=2.122s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=2, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48382 actions=output:5
 cookie=0x0, duration=4.139s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=4, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57158,tp_dst=8000 actions=output:8
 cookie=0x0, duration=9.318s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57138,tp_dst=8000 actions=output:8
 cookie=0x0, duration=1.067s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=1, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48386 actions=output:5
 cookie=0x0, duration=6.191s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57150 actions=output:1
 cookie=0x0, duration=8.315s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=8, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48358 actions=output:5
 cookie=0x0, duration=9.335s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=9, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:01,nw_src=10.0.0.7,nw_dst=10.0.0.1,nw_tos=0,tp_src=8000,tp_dst=48354 actions=output:5
 cookie=0x0, duration=7.203s, table=0, n_packets=5, n_bytes=439, idle_timeout=10, hard_timeout=30, idle_age=7, priority=65535,tcp,in_port=8,vlan_tci=0x0000,dl_src=00:00:00:00:00:0a,dl_dst=00:00:00:00:00:07,nw_src=10.0.0.10,nw_dst=10.0.0.7,nw_tos=0,tp_src=8000,tp_dst=57146 actions=output:1
 cookie=0x0, duration=6.219s, table=0, n_packets=7, n_bytes=568, idle_timeout=10, hard_timeout=30, idle_age=6, priority=65535,tcp,in_port=1,vlan_tci=0x0000,dl_src=00:00:00:00:00:07,dl_dst=00:00:00:00:00:0a,nw_src=10.0.0.7,nw_dst=10.0.0.10,nw_tos=0,tp_src=57150,tp_dst=8000 actions=output:8
